ticker;date;open;low;high;close
RGBITR;2017-10-09;453.95;453.46;454.45;453.84
RGBITR;2017-10-10;453.89;453.42;454.5;454.5
RGBITR;2017-10-11;454.55;454.45;455.47;455.35
RGBITR;2017-10-12;455.41;455.29;456.19;456.14
RGBITR;2017-10-13;456.24;456.21;456.99;456.99
RGBITR;2017-10-16;457.24;457.01;457.58;457.01
RGBITR;2017-10-17;457.19;456.39;457.22;456.49
RGBITR;2017-10-18;456.6;456.6;457.06;457.05
RGBITR;2017-10-19;457.1;456.85;457.16;457.16
RGBITR;2017-10-20;457.42;456.93;457.7;457.04
RGBITR;2017-10-23;457.27;456.92;457.47;457.31
RGBITR;2017-10-24;457.33;457.21;457.48;457.21
RGBITR;2017-10-25;457.32;457.1;457.4;457.18
RGBITR;2017-10-26;457.27;456.83;457.27;457.08
RGBITR;2017-10-27;457.2;456.3;457.34;456.3
RGBITR;2017-10-30;456.53;456.26;457.14;457.01
RGBITR;2017-10-31;457.11;456.84;457.27;456.85
RGBITR;2017-11-01;457.02;456.88;457.3;457.09
RGBITR;2017-11-02;457.21;457.21;457.44;457.23
RGBITR;2017-11-03;457.52;457.08;457.76;457.08
RGBITR;2017-11-07;457.41;457.26;457.66;457.41
RGBITR;2017-11-08;457.53;456.72;457.61;456.78
RGBITR;2017-11-09;456.76;456.47;456.92;456.87
RGBITR;2017-11-10;456.96;456.94;457.19;456.94
RGBITR;2017-11-13;457.18;456.25;457.32;456.25
RGBITR;2017-11-14;456.36;455.63;456.46;455.98
RGBITR;2017-11-15;456.07;455.75;456.22;456.22
RGBITR;2017-11-16;456.3;456.11;456.9;456.9
RGBITR;2017-11-17;457;456.98;457.6;457.56
RGBITR;2017-11-20;457.84;457.65;458.06;457.71
RGBITR;2017-11-21;457.9;457.6;458.1;457.69
RGBITR;2017-11-22;457.8;457.79;458.45;458.44
RGBITR;2017-11-23;458.52;458.38;459.03;458.98
RGBITR;2017-11-24;459.08;458.94;459.22;459.12
RGBITR;2017-11-27;459.38;459.33;459.73;459.64
RGBITR;2017-11-28;460.24;459.76;460.29;460.09
RGBITR;2017-11-29;460.13;460.13;460.77;460.5
RGBITR;2017-11-30;460.58;459.97;460.58;460.31
RGBITR;2017-12-01;460.41;460.27;460.82;460.8
RGBITR;2017-12-04;461.14;460.59;461.14;460.74
